train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa
cho2017,lee2019,cspnet,1,200,69.0,69.0,0.38,,,,77.0,77.0,0.54
cho2017,lee2019,cspnet,2,200,52.0,52.0,0.04,,,,60.5,60.5,0.21
cho2017,lee2019,cspnet,3,200,75.5,75.5,0.51,,,,74.0,74.0,0.48
cho2017,lee2019,cspnet,4,200,51.0,51.0,0.02,,,,57.5,57.5,0.15
cho2017,lee2019,cspnet,5,200,59.0,59.0,0.18,,,,82.5,82.5,0.65
cho2017,lee2019,cspnet,6,200,62.5,62.5,0.25,,,,62.0,62.0,0.24
cho2017,lee2019,cspnet,7,200,52.5,52.5,0.05,,,,66.5,66.5,0.33
cho2017,lee2019,cspnet,8,200,70.0,70.0,0.4,,,,71.5,71.5,0.43
cho2017,lee2019,cspnet,9,200,67.5,67.5,0.35,,,,81.0,81.0,0.62
cho2017,lee2019,cspnet,10,200,52.5,52.5,0.05,,,,60.0,60.0,0.2
cho2017,lee2019,cspnet,11,200,49.5,49.5,-0.01,,,,51.0,51.0,0.02
cho2017,lee2019,cspnet,12,200,51.0,51.0,0.02,,,,70.5,70.5,0.41
cho2017,lee2019,cspnet,13,200,51.0,51.0,0.02,,,,54.0,54.0,0.08
cho2017,lee2019,cspnet,14,200,55.0,55.0,0.1,,,,64.0,64.0,0.28
cho2017,lee2019,cspnet,15,200,49.0,49.0,-0.02,,,,48.5,48.5,-0.03
cho2017,lee2019,cspnet,16,200,52.5,52.5,0.05,,,,63.5,63.5,0.27
cho2017,lee2019,cspnet,17,200,53.5,53.5,0.07,,,,60.0,60.0,0.2
cho2017,lee2019,cspnet,18,200,72.0,72.0,0.44,,,,88.5,88.5,0.77
cho2017,lee2019,cspnet,19,200,62.0,62.0,0.24,,,,76.0,76.0,0.52
cho2017,lee2019,cspnet,20,200,53.5,53.5,0.07,,,,65.5,65.5,0.31
cho2017,lee2019,cspnet,21,200,77.5,77.5,0.55,,,,89.5,89.5,0.79
cho2017,lee2019,cspnet,22,200,55.5,55.5,0.11,,,,61.0,61.0,0.22
cho2017,lee2019,cspnet,23,200,62.0,62.0,0.24,,,,70.0,70.0,0.4
cho2017,lee2019,cspnet,24,200,52.5,52.5,0.05,,,,58.5,58.5,0.17
cho2017,lee2019,cspnet,25,200,50.5,50.5,0.01,,,,61.0,61.0,0.22
cho2017,lee2019,cspnet,26,200,52.5,52.5,0.05,,,,56.0,56.0,0.12
cho2017,lee2019,cspnet,27,200,50.0,50.0,0.0,,,,49.0,49.0,-0.02
cho2017,lee2019,cspnet,28,200,74.0,74.0,0.48,,,,80.5,80.5,0.61
cho2017,lee2019,cspnet,29,200,57.5,57.5,0.15,,,,72.0,72.0,0.44
cho2017,lee2019,cspnet,30,200,58.0,58.0,0.16,,,,63.0,63.0,0.26
cho2017,lee2019,cspnet,31,200,53.0,53.0,0.06,,,,62.5,62.5,0.25
cho2017,lee2019,cspnet,32,200,86.5,86.5,0.73,,,,87.5,87.5,0.75
cho2017,lee2019,cspnet,33,200,79.5,79.5,0.59,,,,89.0,89.0,0.78
cho2017,lee2019,cspnet,34,200,50.0,50.0,0.0,,,,48.0,48.0,-0.04
cho2017,lee2019,cspnet,35,200,49.5,49.5,-0.01,,,,50.0,50.0,0.0
cho2017,lee2019,cspnet,36,200,78.5,78.5,0.57,,,,85.0,85.0,0.7
cho2017,lee2019,cspnet,37,200,89.0,89.0,0.78,,,,92.5,92.5,0.85
cho2017,lee2019,cspnet,38,200,51.0,51.0,0.02,,,,54.5,54.5,0.09
cho2017,lee2019,cspnet,39,200,69.5,69.5,0.39,,,,79.0,79.0,0.58
cho2017,lee2019,cspnet,40,200,59.0,59.0,0.18,,,,66.0,66.0,0.32
cho2017,lee2019,cspnet,41,200,49.0,49.0,-0.02,,,,59.0,59.0,0.18
cho2017,lee2019,cspnet,42,200,52.5,52.5,0.05,,,,63.5,63.5,0.27
cho2017,lee2019,cspnet,43,200,54.5,54.5,0.09,,,,64.0,64.0,0.28
cho2017,lee2019,cspnet,44,200,73.0,73.0,0.46,,,,77.5,77.5,0.55
cho2017,lee2019,cspnet,45,200,55.5,55.5,0.11,,,,69.5,69.5,0.39
cho2017,lee2019,cspnet,46,200,74.0,74.0,0.48,,,,76.0,76.0,0.52
cho2017,lee2019,cspnet,47,200,52.0,52.0,0.04,,,,70.0,70.0,0.4
cho2017,lee2019,cspnet,48,200,54.0,54.0,0.08,,,,50.5,50.5,0.01
cho2017,lee2019,cspnet,49,200,54.5,54.5,0.09,,,,62.0,62.0,0.24
cho2017,lee2019,cspnet,50,200,50.5,50.5,0.01,,,,49.5,49.5,-0.01
cho2017,lee2019,cspnet,51,200,52.0,52.0,0.04,,,,63.5,63.5,0.27
cho2017,lee2019,cspnet,52,200,55.5,55.5,0.11,,,,62.0,62.0,0.24
cho2017,lee2019,cspnet,53,200,50.5,50.5,0.01,,,,59.0,59.0,0.18
cho2017,lee2019,cspnet,54,200,55.5,55.5,0.11,,,,61.5,61.5,0.23
